"","Num","AGE","GENDER","NegEmot1","NegEmot2","NegEmot3","Egal1","Egal2","Egal3","Ind1","Ind2","Ind3","GovSupport1","GovSupport2","GovSupport3"
"137",206,26,2,6,6,6,5.6,7,6,2.25,2.5,1.75,5,4.66666666666667,3
"138",208,25,2,6,6,6,5.6,4.6,4.6,1.75,2.33333333333333,3.25,5,4,3
"139",209,24,2,6,6,7,5,5,5.7,2.25,2,1.75,5,4.33333333333333,5
"140",210,23,2,2,3,4,4.2,5.8,4.5,2.25,4,3,3,4,3
"141",211,23,2,5,5,5,6.4,6.6,4.8,2.75,3,3.75,6,6,6
"142",212,24,2,4,5,5,5,4,5.2,2,3.25,2.66666666666667,5,5.33333333333333,5
"143",213,24,1,7,7,7,5.8,6.2,6,1,2,2.5,6,5.66666666666667,5
"144",214,24,1,7,6,6,5.8,6,5.8,1,3.25,2.5,5,5,3
"145",216,23,1,4,5,3,4,4.6,4.7,1.75,2,2,6,5,6
"146",217,23,1,6,4,5,5.6,5.4,4.8,2,2.25,1.5,5,5.33333333333333,4
"147",218,24,1,4,4,5,4.2,4.4,5.5,5.5,5.75,4.75,6,5,3
"148",219,23,1,5,7,7,6.6,6.8,5.3,1.75,2.75,3.5,7,5,7
"149",220,23,1,6,7,7,6.4,7,6.9,1,1.25,1.75,6,5.44444444444444,5.33333333333333
"150",221,23,1,6,6,6,5.2,5.8,6.1,2,2.25,2.25,6,5.33333333333333,4
"151",222,23,1,6.09090909090909,7,7,6.8,6.2,6.3,1.75,1.25,1.5,7,5.33333333333333,2
"152",223,25,1,7,7,7,5.6,5.2,5.9,2,2,1.75,6,6,5
"153",224,23,1,5,3,5,5,5,5.1,3,3,3,4,4,2
"154",225,23,1,7,7,7,5.8,5.8,6.5,1.75,1.75,1.5,6,4.33333333333333,2
"155",226,23,1,2,3,4,4.6,3.8,4.8,3.5,4,4.5,1,3.33333333333333,3
"156",228,23,1,3,6,7,5,6.6,5.5,3,4.75,5,7,6.66666666666667,6
"157",230,23,1,4,4,4,4.8,4.4,5.8,3,2.75,3.75,7,7,7
"158",234,23,1,5,5,5,6.6,5.8,6.9,1.75,2.5,2,7,7,7
"159",235,23,1,4,4,4,3.8,3.4,3.6,4.25,3.75,4.5,3,3,2
"160",236,23,1,4,7,6,4.75,6,4.3,1.5,2,2.25,5,4.33333333333333,2
